"Plot Title: 20965820 - Midden"
"#","Date Time, GMT+02:00","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Blue - Air)","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Brown - leaf)","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Surface)","Volt, V (LGR S/N: 20965820, SEN S/N: 20965820, LBL: Tissue)"
71,05/07/21 01:48:55 PM,1.29679,1.38705,1.34195,1.29187
72,05/07/21 01:48:56 PM,1.29854,1.38544,1.34077,1.29599
73,05/07/21 01:48:57 PM,1.30224,1.38384,1.34123,1.29946
74,05/07/21 01:48:58 PM,1.30621,1.38216,1.34161,1.29679
75,05/07/21 01:48:59 PM,1.29854,1.38006,1.34123,1.29290
76,05/07/21 01:49:00 PM,1.30220,1.37934,1.34154,1.30049
77,05/07/21 01:49:01 PM,1.30343,1.37907,1.34146,1.30198
78,05/07/21 01:49:02 PM,1.30194,1.37800,1.34127,1.29881
79,05/07/21 01:49:03 PM,1.30095,1.37720,1.34081,1.29862
80,05/07/21 01:49:04 PM,1.30037,1.37762,1.34108,1.29892
81,05/07/21 01:49:05 PM,1.30056,1.37785,1.34123,1.29919
82,05/07/21 01:49:06 PM,1.30110,1.37804,1.34192,1.30003
83,05/07/21 01:49:07 PM,1.30320,1.37861,1.34115,1.30201
84,05/07/21 01:49:08 PM,1.30579,1.37934,1.34104,1.30400
85,05/07/21 01:49:09 PM,1.30915,1.38060,1.34146,1.30873
86,05/07/21 01:49:10 PM,1.31388,1.38258,1.34260,1.31312
87,05/07/21 01:49:11 PM,1.31544,1.38418,1.34379,1.31548
88,05/07/21 01:49:12 PM,1.31704,1.38529,1.34501,1.31334
89,05/07/21 01:49:13 PM,1.31605,1.38590,1.34478,1.30560
90,05/07/21 01:49:14 PM,1.31563,1.38624,1.34394,1.30354
91,05/07/21 01:49:15 PM,1.31750,1.38758,1.34409,1.30697
92,05/07/21 01:49:16 PM,1.31773,1.38911,1.34340,1.31014
93,05/07/21 01:49:17 PM,1.32105,1.39143,1.34440,1.31746
94,05/07/21 01:49:18 PM,1.32357,1.39322,1.34565,1.32033
95,05/07/21 01:49:19 PM,1.32059,1.39414,1.34676,1.32048
96,05/07/21 01:49:20 PM,1.31998,1.39528,1.34768,1.31720
97,05/07/21 01:49:21 PM,1.31861,1.39612,1.34783,1.31636
98,05/07/21 01:49:22 PM,1.31785,1.39509,1.34859,1.31735
99,05/07/21 01:49:23 PM,1.32029,1.39563,1.34974,1.32341
100,05/07/21 01:49:24 PM,1.32921,1.39696,1.35134,1.33448
101,05/07/21 01:49:25 PM,1.34031,1.39895,1.35313,1.34604
102,05/07/21 01:49:26 PM,1.33783,1.39815,1.35393,1.34085
103,05/07/21 01:49:27 PM,1.34421,1.39998,1.35477,1.34539
104,05/07/21 01:49:28 PM,1.34493,1.40257,1.35508,1.33677
105,05/07/21 01:49:29 PM,1.33436,1.40299,1.35355,1.31304
106,05/07/21 01:49:30 PM,1.32059,1.40093,1.35122,1.30598
107,05/07/21 01:49:31 PM,1.31765,1.39830,1.34859,1.30716
108,05/07/21 01:49:32 PM,1.32689,1.39651,1.34668,1.31567
109,05/07/21 01:49:33 PM,1.33272,1.39628,1.34661,1.32444
110,05/07/21 01:49:34 PM,1.33005,1.39517,1.34779,1.30877
111,05/07/21 01:49:35 PM,1.31594,1.39189,1.34508,1.29732
112,05/07/21 01:49:36 PM,1.31567,1.38911,1.34646,1.30884
113,05/07/21 01:49:37 PM,1.31464,1.38640,1.34653,1.31090
114,05/07/21 01:49:38 PM,1.31735,1.38499,1.34627,1.31220
115,05/07/21 01:49:39 PM,1.31453,1.38251,1.34314,1.30373
116,05/07/21 01:49:40 PM,1.31174,1.38140,1.34150,1.30625
117,05/07/21 01:49:41 PM,1.31144,1.38144,1.34096,1.30129
118,05/07/21 01:49:42 PM,1.30770,1.37949,1.33959,1.29702
119,05/07/21 01:49:43 PM,1.30591,1.37755,1.33951,1.29572
120,05/07/21 01:49:44 PM,1.30556,1.37560,1.34039,1.30022
121,05/07/21 01:49:45 PM,1.30877,1.37503,1.34180,1.30518
122,05/07/21 01:49:46 PM,1.31167,1.37541,1.34241,1.31067
123,05/07/21 01:49:47 PM,1.31716,1.37617,1.34421,1.31529
124,05/07/21 01:49:48 PM,1.31697,1.37610,1.34550,1.30842
125,05/07/21 01:49:49 PM,1.30434,1.37488,1.34539,1.29618
126,05/07/21 01:49:50 PM,1.29541,1.37232,1.34504,1.28614
127,05/07/21 01:49:51 PM,1.28553,1.36755,1.34413,1.28096
128,05/07/21 01:49:52 PM,1.28408,1.36427,1.34382,1.28264
129,05/07/21 01:49:53 PM,1.28672,1.36233,1.34356,1.28748
130,05/07/21 01:49:54 PM,1.29198,1.36152,1.34329,1.29225
131,05/07/21 01:49:55 PM,1.29717,1.36137,1.34287,1.29828
132,05/07/21 01:49:56 PM,1.30137,1.36168,1.34264,1.30270
